# 05ClusterAnalysis_DBS.R
%	 212
%	 14
% Key	Time	Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	TotCases/1Mpop	Deaths/1Mpop	TotalTests	Tests/1Mpop	
164	2020-03-12	Saint Lucia	15	NaN	NaN	NaN	11	4	NaN	82	NaN	319	1737
165	2020-02-29	Saint Martin	35	NaN	2	NaN	13	20	5	905	52	NaN	NaN
166	2020-04-05	Saint Pierre Miquelon	1	NaN	NaN	NaN	NaN	1	NaN	173	NaN	NaN	NaN
167	2020-02-26	San Marino	393	NaN	36	NaN	53	304	15	11582	1061	846	24933
168	2020-04-06	Sao Tome and Principe	4	NaN	NaN	NaN	NaN	4	NaN	18	NaN	19	87
169	2020-03-01	Saudi Arabia	5862	NaN	79	NaN	931	4852	71	168	2	150000	4309
170	2020-03-01	Senegal	314	NaN	2	NaN	190	122	1	19	0.1	NaN	NaN
171	2020-03-05	Serbia	4873	NaN	99	NaN	400	4374	128	558	11	26278	3008
172	2020-03-13	Seychelles	11	NaN	NaN	NaN	NaN	11	NaN	112	NaN	NaN	NaN
173	2020-03-30	Sierra Leone	13	NaN	NaN	NaN	NaN	13	NaN	2	NaN	NaN	NaN
174	2020-01-22	Singapore	3699	NaN	10	NaN	652	3037	29	632	2	72680	12423
175	2020-03-17	Sint Maarten	53	NaN	9	NaN	5	39	2	1236	210	157	3662
176	2020-03-05	Slovakia	863	NaN	6	NaN	151	706	5	158	1	31491	5768
177	2020-03-03	Slovenia	1248	NaN	61	NaN	165	1022	34	600	29	37114	17852
178	2020-03-15	Somalia	80	NaN	5	NaN	2	73	2	5	0.3	NaN	NaN
179	2020-03-04	South Africa	2506	NaN	34	NaN	410	2062	7	42	0.6	90515	1526
180	2020-04-05	South Sudan	4	NaN	NaN	NaN	NaN	4	NaN	0.4	NaN	NaN	NaN
181	2020-01-30	Spain	180659	NaN	18812	NaN	70853	90994	7371	3864	402	650755	13918
182	2020-01-26	Sri Lanka	238	NaN	7	NaN	65	166	1	11	0.3	4768	223
183	2020-02-29	St. Barth	6	NaN	NaN	NaN	4	2	NaN	607	NaN	NaN	NaN
184	2020-03-10	St. Vincent Grenadines	12	NaN	NaN	NaN	1	11	NaN	108	NaN	87	784
185	2020-03-12	Sudan	32	NaN	5	NaN	4	23	NaN	0.7	0.1	NaN	NaN
186	2020-03-12	Suriname	10	NaN	1	NaN	6	3	NaN	17	2	NaN	NaN
187	2020-01-30	Sweden	11927	NaN	1203	NaN	381	10343	954	1181	119	74600	7387
188	2020-02-24	Switzerland	26336	NaN	1239	NaN	15400	9697	386	3043	143	199000	22993
189	2020-03-21	Syria	33	NaN	2	NaN	5	26	NaN	2	0.1	NaN	NaN
